language,id,text,file,node,lineNumber,lock,comment
en,line:tutorial-tom-01,Tom: Ahm… olá?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,43,7ae86f0e,
en,line:tutorial-tom-02,Tom: Tem alguém aí?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,46,e89e6ab3,
en,line:tutorial-anne-01,Anne: Oi!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,49,344e2fcf,
en,line:tutorial-tom-03,Tom: Quem é você?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,58,5fd22997,
en,line:tutorial-tom-04,Tom: E onde você está?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,60,f95d2d76,
en,line:tutorial-anne-02,"Anne: Eu sou a Anne! Estou aqui, ó!",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,62,5b7c994c,
en,line:tutorial-tom-05,Tom: Onde eu estou?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,70,44a0660e,
en,line:tutorial-anne-03,Anne: Você está flutuando num completo vazio!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,72,1472405e,
en,line:tutorial-tom-06,Tom: É… eu percebi…,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,74,0d13a781,
en,line:tutorial-tom-07,Tom: Como eu vim parar aqui?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,78,e6bb3989,
en,line:tutorial-anne-04,"Anne: Ah, foi um escritor que colocou você aqui. Isso é um teste de conversa para o Yarn Spinner!",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,79,7afdab31,
en,line:tutorial-tom-08,Tom: O que é Yarn Spinner?,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,82,eb186238,
en,line:tutorial-anne-05,Anne: Não esquenta com isso!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,85,ecf50366,
en,line:tutorial-tom-09,"Tom: Isso é estranho, Anne.",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,92,7445aed2,
en,line:tutorial-tom-10,"Tom: É confuso, mesmo.",/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,94,037e383d,
en,line:tutorial-anne-06,Anne: Tá tudo bem! Isso vai sumir num instante.,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,97,0807fb50,
en,line:tutorial-tom-11,Tom: O quê?!,/Users/timnugent/Development/SampleSaliency/Assets/Samples/VoiceOver/Dialogue/VoiceOver.yarn,Start,100,86dfa212,
